
Type_of_property,Price,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,postal code
house,€289000,3,D,372,0,Yes,0,411,0,3,0,Good,0,1,0,0,1,0,Gas,9400
house,€448000,3,C,296,0,0,60,620,36,4,1991,Good,0,1,0,0,2,Hyper equipped,0,9190
house,€260000,4,D,336,0,0,20,215,26,2,0,Good,0,1,0,0,1,0,Gas,3300
house,€214000,2,C,269,0,Yes,0,82,0,2,0,Good,0,1,0,0,2,0,Gas,8000
house,€259000,2,B,120,0,Yes,0,82,0,2,0,Good,0,1,0,Yes,2,0,Gas,8310
house,€295000,4,F,662,0,Yes,0,293,0,3,0,To renovate,0,1,0,0,1,0,Gas,8200
house,€780000,4,C,197,0,Yes,0,1499,0,4,2000,To be done up,0,2,0,0,2,USA hyper equipped,Fuel oil,6791
house,€850000,3,B,110,0,Yes,0,360,33,2,0,As new,0,1,2,Yes,2,Hyper equipped,Gas,6700
house,€830000,4,B,161,0,0,35,395,0,2,1920,As new,0,2,0,0,3,USA hyper equipped,Gas,6700
house,€578000,4,C,187,0,0,25,886,40,4,2003,As new,0,1,0,Yes,2,Hyper equipped,Fuel oil,6700
house,€249000,3,D,336,0,Yes,0,210,20,3,1961,To be done up,0,0,0,0,2,0,Fuel oil,6780
house,€445000,4,E,468,0,0,9,0,0,3,1951,Good,0,2,0,0,2,0,Fuel oil,1831
house,€550000,4,C,296,0,Yes,0,537,0,4,1930,Good,0,2,0,Yes,2,0,Electric,8630
house,€990000,5,A,29.93,No,0,138,986,38,4,0,As new,0,2,2,Yes,2,Hyper equipped,0,1785
house,€675000,2,Not specified,Not specified,Yes,Yes,0,10319,32,0,0,Just renovated,0,1,0,0,1,0,Electric,59270
house,€375000,3,F,529,No,0,0,783,0,4,1986,To renovate,0,1,0,Yes,0,0,Electric,9200
house,€359000,4,B,130,0,0,0,111,0,2,0,Good,0,1,0,0,1,0,Gas,20
house,€290000,3,B,151,No,0,0,185,16,2,1930,Good,0,1,0,0,0,0,Gas,20
house,€520000,6,G,352,No,Yes,0,0,20,2,0,To be done up,0,3,3,0,3,Hyper equipped,0,1060
house,€415000,3,Not specified,Not specified,No,0,0,0,0,0,0,To be done up,0,0,0,Yes,0,0,Fuel oil,6790
house,€,4,D,305,0,0,0,81,17,2,0,0,0,1,0,0,0,0,Pellet,6530
house,€225000,3,C,266,No,Yes,0,235,0,2,1982,Good,0,1,0,0,2,Installed,Gas,8830
house,€265000,2,Not specified,Not specified,No,0,0,680,0,3,1937,Good,0,1,0,0,1,0,Gas,8792
house,€239000,2,D,302,No,Yes,0,170,0,2,1930,Good,0,1,0,0,1,0,0,2950
house,€185000,3,D,391,No,0,14,40,19,2,1850,Good,0,1,0,0,0,0,Gas,9300
house,€62500,2,Not specified,Not specified,0,0,0,0,14,0,0,Good,0,1,0,0,1,0,Electric,8900
house,€1395000,5,G,437,No,0,80,649,30,4,1931,As new,0,4,4,Yes,4,Hyper equipped,0,1180
